,...1,country,continent,area_in_pa_cat_1,area_in_pa_cat_2,area_in_pa_cat_3,area_in_pa_cat_4,total_pa_area,area_in_country_cat_1,area_in_country_cat_2,area_in_country_cat_3,area_in_country_cat_4,total_country_area,,y,x
7,1,"Man, Isle of",Europe,0,0,0,16.54739527,16.75761154,0,0,0,536.1055908,614.0003052,,0.987455475,0.873135707
23,1,Mexico,North America,0,-5.94E+38,142872.139,59823.37288,386645.5045,0,0,904341.4375,645719.5,1953585.75,,0.154724088,0.330530411
22,1,Montenegro,Europe,0,0,907.1208383,786.6917686,1939.223664,0,0,3053.819824,10343.7168,13732.83691,,0.405673561,0.753210489
25,1,Mozambique,Africa,0,-2.00E+36,118026.8652,36420.29919,243250.4766,0,0,363989.375,288628.125,785582.125,,0.149723444,0.367406686
84,1,Myanmar (Burma),Asia,0,-3.72E+38,10714.63152,4250.104726,45556.46611,0,0,224970.6875,284901.5625,666176.5,,0.093293117,0.427666786
76,1,Namibia,Africa,0,-4.41E+37,123312.7891,4872.829557,392759.9963,0,0,471843.6563,56916.37891,822436.375,,0.012406634,0.069204598
34,1,Nepal,Asia,-5.58E+38,-6.80E+38,8544.79671,6716.182682,36106.96847,0,0,28474.86719,77886.46094,146831.7969,,0.186007936,0.530446828
32,1,Netherlands,Europe,0,0,0,13070.10031,14287.96115,0,0,0,33294.24609,35344.08984,,0.914763147,0.94200321
37,1,Netherlands Antilles,North America,0,0,0,76.97256224,85.03712486,0,0,0,595.3178711,788.2997437,,0.905164213,0.755192268
26,1,New Caledonia,Oceania,0,0,729.0124374,635.5633424,1631.906796,0,0,10601.07227,2052.218018,18820.12695,,0.389460565,0.109043793
39,1,New Zealand,Oceania,-2.61E+38,-2.76E+40,21990.99129,1863.902201,113623.5167,0,0,109378.8125,55182.23438,267539.25,,0.016404194,0.206258463
38,1,Nicaragua,North America,0,0,22652.87504,11213.01748,60656.7274,0,0,43856.80078,52385.73047,128041.5,,0.184860245,0.409130871
29,1,Niger,Africa,-3.13E+37,0,20110.21957,9500.362599,309339.5522,0,0,235290.5938,142655.0938,1180926.375,,0.030711762,0.120799312
