,...1,country,continent,urban_and_agri_area_country_cat_1,urban_and_agri_area_country_cat_2,urban_and_agri_area_country_cat_3,urban_and_agri_area_country_cat_4,urban_area_in_country_cat_1,urban_area_in_country_cat_2,urban_area_in_country_cat_3,urban_area_in_country_cat_4,agri_area_in_country_cat_1,agri_area_in_country_cat_2,agri_area_in_country_cat_3,agri_area_in_country_cat_4,total_country_area,,y,x,
65,1,Equatorial Guinea,Africa,NA,NA,NA,3979.745361,NA,NA,NA,5734.698242,NA,NA,NA,14129.42969,26921.33398,,0.281663552,0.147828684,0.213016868
66,1,Eritrea,Africa,NA,NA,NA,9283.799805,NA,NA,NA,21714.74219,NA,NA,NA,31797.33203,120818.3984,,0.291967886,0.076840944,0.179730426
67,1,Estonia,Europe,NA,NA,NA,14170.58691,NA,NA,NA,23292.61719,NA,NA,NA,27786.58008,45596.62891,,0.509979525,0.31078146,0.510840774
68,1,Ethiopia,Africa,NA,NA,NA,93645.80469,NA,NA,NA,284426.6563,NA,NA,NA,348514.0313,1127270.625,,0.268700242,0.083073046,0.25231444
69,1,Falkland Islands (Islas Malvinas),South America,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,30.56561661,11422.27637,,0,0,0
70,1,Faroe Islands,Europe,NA,NA,NA,46.29538345,NA,NA,NA,450.8616028,NA,NA,NA,119.0859146,1471.925415,,0.388756165,0.031452262,0.30630737
71,1,Federated States of Micronesia,Oceania,NA,NA,NA,229.561142,NA,NA,NA,246.8605347,NA,NA,NA,385.0428162,516.1691895,,0.596196403,0.44474011,0.478255076
72,1,Fiji,Oceania,NA,NA,NA,2153.970947,NA,NA,NA,4996.878418,NA,NA,NA,9630.214844,18016.9668,,0.223668006,0.119552363,0.277342933
73,1,Finland,Europe,NA,NA,NA,82956.1875,NA,NA,NA,154458.75,NA,NA,NA,102868.4297,332558.7188,,0.806429997,0.249448241,0.464455572
74,1,France,Europe,NA,NA,NA,214800.7344,NA,NA,NA,528322,NA,NA,NA,222439.7344,545163.6875,,0.965658114,0.394011449,0.9691071
75,1,French Guiana,South America,NA,NA,NA,1331.861328,NA,NA,NA,1740.338623,NA,NA,NA,5209.906738,83589.5,,0.255640148,0.015933357,0.020820063
76,1,French Polynesia,Oceania,NA,NA,NA,197.535614,NA,NA,NA,585.6846924,NA,NA,NA,561.4812622,2081.770508,,0.351811587,0.094888276,0.281339701
78,1,Gabon,Africa,NA,NA,NA,4917.12793,NA,NA,NA,8513.194336,NA,NA,NA,92468.60156,260690.8438,,0.05317619,0.018861913,0.032656284
79,1,"Gambia, The",Africa,NA,NA,NA,3047.407959,NA,NA,NA,9926.888672,NA,NA,NA,3422.638916,10716.14746,,0.890367939,0.284375329,0.926348644
80,1,Gaza Strip,Asia,NA,NA,NA,38.39120102,NA,NA,NA,361.9233704,NA,NA,NA,40.77793503,370.4026794,,0.941469964,0.103647201,0.977107863
81,1,Georgia,Asia,NA,NA,NA,16616.85156,NA,NA,NA,38780.84766,NA,NA,NA,36322.875,69641.01563,,0.45747622,0.238607255,0.556867922
82,1,Germany,Europe,NA,NA,NA,132920,NA,NA,NA,349946.5,NA,NA,NA,134806.1875,355055.2813,,0.986008153,0.374364238,0.985611307
83,1,Ghana,Africa,NA,NA,NA,64818.92969,NA,NA,NA,175164.6094,NA,NA,NA,108837.0938,238984.9219,,0.595559174,0.271226022,0.732952556
84,1,Gibraltar,Europe,NA,NA,NA,1.294700146,NA,NA,NA,4.312462807,NA,NA,NA,1.448278904,7.820232868,,0.893957747,0.165557748,0.551449411
86,1,Greece,Europe,NA,NA,NA,56662.47266,NA,NA,NA,115689.2656,NA,NA,NA,63663.26953,129493.8125,,0.890033972,0.437568958,0.893396089
87,1,Greenland,North America,NA,NA,NA,0.177604124,NA,NA,NA,93.0359726,NA,NA,NA,1387.179688,2140245.5,,0.000128033,8.30E-08,4.34698E-05
88,1,Grenada,North America,NA,NA,NA,249.319809,NA,NA,NA,291.4280396,NA,NA,NA,255.5464325,346.0961304,,0.975634082,0.720377338,0.842043623
89,1,Guadeloupe,North America,NA,NA,NA,985.5088501,NA,NA,NA,1473.321045,NA,NA,NA,1007.343994,1650.588135,,0.978324044,0.59706527,0.892603681
90,1,Guam,Oceania,NA,NA,NA,396.252533,NA,NA,NA,490.8606567,NA,NA,NA,411.9460754,575.4417725,,0.961903891,0.688605784,0.853015336
91,1,Guatemala,North America,NA,NA,NA,35932.06641,NA,NA,NA,60447.93359,NA,NA,NA,61970.14063,108921.9688,,0.579828705,0.329888147,0.554965488
92,1,Guernsey,Europe,NA,NA,NA,5.076835155,NA,NA,NA,59.12634277,NA,NA,NA,5.55405426,72.35455322,,0.914077342,0.070166077,0.817175148
93,1,Guinea,Africa,NA,NA,NA,86506.72656,NA,NA,NA,149692.6563,NA,NA,NA,141360.4688,244951.3438,,0.611958402,0.353158816,0.611111799
94,1,Guinea-Bissau,Africa,NA,NA,NA,13085.90332,NA,NA,NA,19487.29883,NA,NA,NA,19769.22461,33143.78125,,0.661933059,0.394822281,0.58796245
95,1,Guyana,South America,NA,NA,NA,2046.778809,NA,NA,NA,3738.895264,NA,NA,NA,34837.28125,210568.6563,,0.058752541,0.009720244,0.017756181
96,1,Haiti,North America,NA,NA,NA,15160.04688,NA,NA,NA,24769.07227,NA,NA,NA,16158.79297,27123.48047,,0.938191789,0.558927048,0.913196678
98,1,Honduras,North America,NA,NA,NA,30563.67773,NA,NA,NA,51233.21875,NA,NA,NA,76507.69531,112124.2813,,0.399485014,0.272587502,0.456932416
100,1,Hungary,Europe,NA,NA,NA,23725.82227,NA,NA,NA,91062.66406,NA,NA,NA,24316.24805,92493.59375,,0.975718878,0.256513141,0.984529418
102,1,India,Asia,NA,NA,NA,552479.5625,NA,NA,NA,2766830,NA,NA,NA,699299.3125,3147207.25,,0.790047341,0.175545974,0.879138163
103,1,Indonesia,Asia,NA,NA,NA,197437.0313,NA,NA,NA,651309.375,NA,NA,NA,842031.375,1893817.75,,0.234477048,0.104253449,0.343913439
104,1,Iran,Asia,NA,NA,NA,232502.9063,NA,NA,NA,684246.8125,NA,NA,NA,350876.5625,1618443.5,,0.662634474,0.14365834,0.422780784
105,1,Iraq,Asia,NA,NA,NA,85468.875,NA,NA,NA,211767.4219,NA,NA,NA,97920.54688,434970.375,,0.872839028,0.196493554,0.486854816
106,1,Ireland,Europe,NA,NA,NA,22813.37109,NA,NA,NA,63379.85938,NA,NA,NA,25114.88867,69190.07031,,0.908360431,0.329720305,0.916025365
107,1,Israel,Asia,NA,NA,NA,3846.69043,NA,NA,NA,15256.94141,NA,NA,NA,4232.296875,20650.26758,,0.908889557,0.186277994,0.738825362
108,1,Italy,Europe,NA,NA,NA,97938.57031,NA,NA,NA,275813.2188,NA,NA,NA,108303.5469,298605,,0.904296979,0.327987041,0.923672473
109,1,Ivory Coast,Africa,NA,NA,NA,71738.83594,NA,NA,NA,217971.5156,NA,NA,NA,129713.1484,321266.1563,,0.553057549,0.223300321,0.678476432
110,1,Jamaica,South America,NA,NA,NA,7647.40332,NA,NA,NA,9908.501953,NA,NA,NA,8103.42627,11020.98535,,0.943724675,0.6938947,0.899057719
112,1,Japan,Asia,NA,NA,NA,188098.5,NA,NA,NA,341943.625,NA,NA,NA,196593.0625,369830.875,,0.956791138,0.508606806,0.924594587
114,1,Jersey,Europe,NA,NA,NA,4.500101566,NA,NA,NA,102.7598495,NA,NA,NA,5.661368847,123.2247849,,0.79487871,0.036519452,0.833921922
116,1,Jordan,Asia,NA,NA,NA,7092.140625,NA,NA,NA,21294.87891,NA,NA,NA,9390.96582,88974.21875,,0.755208864,0.079710063,0.239337633
118,1,Kazakhstan,Asia,NA,NA,NA,140498.1875,NA,NA,NA,349445.4688,NA,NA,NA,920985.875,2708192.5,,0.152551946,0.051878952,0.129032729
119,1,Kenya,Africa,NA,NA,NA,47027.50391,NA,NA,NA,177648.7969,NA,NA,NA,188996.875,581855.375,,0.248826886,0.080823356,0.305314352
121,1,Kuwait,Asia,NA,NA,NA,2094.323975,NA,NA,NA,13709.96289,NA,NA,NA,2134.502686,16697.82227,,0.981176547,0.125424977,0.821062931
